id,Sitio,Piso,r,Ks.ms,a.m,Ks.mmhr,N_Macroporos,N.m2_Macroporos,N_Mesoporos,N_Microporos,O.m_Macroporos,O.m_Mesoporos,O.m_Microporos,PF_Macroporos,PF_Mesoporos,PF_Microporos,trat,rec,S,a.max,w.max,a.105,w.min,a.err,Ys.105,Ys.max,IRDI,Y90.max,a_corr,w.campo,a.campo,tipoR_0,tipoR
1-4a,Yeto,1,0.0645,2.29E-06,2.648551395,8.229464295,0.72141788,55.19727018,880532866.1,NA,5.67E-07,0.06915689,NA,7.569663807,92.39218982,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
1-4a,Yeto,1,0.0645,1.27E-06,2.990910376,4.589905659,0.452101026,34.59124479,486264616.2,NA,3.55E-07,0.038191134,NA,8.505365647,91.48084441,NA,Sup,2,0,90,0,90,0,0,29.7,29.7,NA,71.28,,,,Sup(2),S(2)
1-4a,Yeto,1,0.0645,5.33E-06,7.388043088,19.20085286,4.383590464,335.3981568,1785254259,NA,3.44E-06,0.140213542,NA,19.71381648,80.28618349,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
1-7a,Yeto,1,0.0645,8.68E-07,2.306420084,3.126219166,0.239853276,18.35170218,337674238.8,NA,1.88E-07,0.026520873,NA,6.625024498,93.26952465,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
1-7a,Yeto,1,0.0645,4.25E-06,4.41212842,15.29027884,2.176145957,166.5017179,1553119188,NA,1.71E-06,0.121981696,NA,12.28949028,87.71030781,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
1-7a,Yeto,1,0.0645,6.91E-06,11.43118075,24.86600328,8.294663277,634.6429478,2050216996,NA,6.51E-06,0.161023666,NA,28.80408137,71.19591863,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
Aa,Yeto,1,0.0645,1.20E-06,2.47871579,4.306598548,0.354201333,27.10072375,463003477.5,NA,2.78E-07,0.036364208,NA,7.101940951,92.83486677,NA,Sup,2,,,,,,,,,,,,,,Sup(2),S(2)
Aa,Yeto,1,0.0645,3.40E-06,7.167744443,12.23258769,2.718012155,207.9610936,1144830897,NA,2.13E-06,0.089914808,NA,19.18643613,80.81356382,NA,Sup,2,58.83,113.33,0.3,90,0.8,23.33,29.7,10.83,73.54,25.99,,,,Sup(2),S(2)
S006,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,39.75,100.67,0.3,97.23,0.5,3.44,18.31,18.9,79.5,45.36,,,,C(0),C(0)
S007,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,32.74,109.13,0,109.13,0.6,0,5.78,5.78,54.57,13.87,,,,C(0),C(0)
S013,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,15.29,101.9,0,101.9,0.3,0,10.06,10.06,50.97,24.14,,,,C(0),C(0)
S017,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,25.78,103.13,0.1,102.99,0.4,0.14,9.79,13.13,64.45,31.51,,,,C(0),C(0)
S020,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,25.33,101.66,0.1,99.98,0.4,1.68,12.29,10.8,63.32,25.92,,,,C(0),C(0)
S028,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,71.68,106.68,0.7,98.15,0.7,8.53,11.1,29.7,102.4,71.28,,,,C(0),C(0)
S032,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,81.75,109.61,0.7,108.64,0.8,0.97,5.53,5.53,102.19,13.27,,,,C(0),C(0)
S036,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,25.53,102.27,0.1,101.44,0.4,0.83,10.99,10.59,63.83,25.42,,,,C(0),C(0)
S037,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,58.77,107.68,0.5,105.88,0.6,1.8,7.7,7.18,97.95,17.23,,,,C(0),C(0)
S038,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,38.5,99.98,0.4,92.53,0.4,7.45,27.22,29.7,96.25,71.28,,,,C(0),C(0)
S041,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,59.78,102.11,0.6,97.16,0.6,4.95,15.4,29.7,99.63,71.28,,,,C(0),C(0)
S042,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,39.06,99.98,0.3,93.77,0.5,6.21,19.81,12.29,78.12,29.5,,,,C(0),C(0)
S046,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,39.82,102.75,0.3,94.22,0.5,8.53,22.95,9.91,79.64,23.78,,,,C(0),C(0)
S050,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,31.43,104.81,0.1,104.53,0.5,0.28,8.59,8.4,62.86,20.16,,,,C(0),C(0)
S051,Alto Fresno,1,,,,,,,,,,,,,,,BN,0,46.68,104.53,0.2,100.91,0.7,3.62,12.46,8.59,66.69,20.62,,,,C(0),C(0)
1_0.5r,Alto Fresno,1,0.0455,4.11E-06,1,14.8,1.626318889,250.053559,8.78E+06,Inf,1.28E-06,6.89E-04,NA,94.87991938,5.12E+00,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
1_1.25r,Alto Fresno,1,0.0455,9.94E-06,0.7,35.8,3.627800923,557.7900731,5.18E+07,Inf,2.85E-06,4.07E-03,NA,87.51197499,1.25E+01,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
2_0.5r,Alto Fresno,1,0.0455,4.94E-06,1,17.8,1.954748251,300.550993,1.05E+07,Inf,1.54E-06,8.28E-04,NA,94.87991938,5.12E+00,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
2_1.25r,Alto Fresno,1,0.0455,6.89E-06,3,24.8,2.873098415,441.7513003,3.86E+04,NA,2.26E-06,3.03E-06,NA,99.98657759,1.34E-02,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
3_0.5r,Alto Fresno,1,0.0455,6.17E-06,0.8,22.2,2.334483048,358.9368595,2.39E+07,Inf,1.83E-06,1.87E-03,NA,90.72270343,9.28E+00,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
3_1.25r,Alto Fresno,1,0.0455,7.11E-06,1,25.6,2.813412969,432.574405,1.52E+07,Inf,2.21E-06,1.19E-03,NA,94.87991938,5.12E+00,-1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
4_0.5r,Alto Fresno,1,0.0455,8.53E-06,0.9,30.7,3.312266875,509.2753493,2.45E+07,Inf,2.60E-06,1.93E-03,NA,93.10793889,6.89E+00,1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
4_1.25r,Alto Fresno,1,0.0455,2.12E-05,3,76.4,8.840302816,1359.23477,1.19E+05,NA,6.94E-06,9.32E-06,NA,99.98657759,1.34E-02,1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
5_0.5r,Alto Fresno,1,0.0455,4.14E-06,0.8,14.9,1.56641164,240.8425605,1.60E+07,Inf,1.23E-06,1.26E-03,NA,90.72270343,9.28E+00,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
5_1.25r,Alto Fresno,1,0.0455,2.12E-05,3,76.4,8.840302816,1359.23477,1.19E+05,NA,6.94E-06,9.32E-06,NA,99.98657759,1.34E-02,1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
6_0.5r,Alto Fresno,1,0.0455,4.00E-06,0.2,14.4,0.747533591,114.9365208,92067198.58,Inf,5.87E-07,7.23E-03,NA,44.81063973,55.18936027,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
6_1.25r,Alto Fresno,1,0.0455,1.21E-05,2.9,43.5,5.045410116,775.7536142,9.12E+04,NA,3.96E-06,7.16E-06,NA,99.98193231,1.81E-02,-1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
7_0.5r,Alto Fresno,1,0.0455,2.83E-05,2.8,102,11.799684,1814.252419,2.87E+05,NA,9.27E-06,2.25E-05,NA,99.97567936,2.43E-02,1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
7_1.25r,Alto Fresno,1,0.0455,6.83E-06,0.7,24.6,2.492744497,383.2702413,3.56E+07,Inf,1.96E-06,2.79E-03,NA,87.51197499,1.25E+01,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
8_0.5r,Alto Fresno,1,0.0455,2.38E-06,1,8.6,0.941761303,144.7998711,5.08E+06,Inf,7.40E-07,3.99E-04,NA,94.87991938,5.12E+00,-1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
8_1.25r,Alto Fresno,1,0.0455,8.11E-06,1.9,29.2,3.370351424,518.2060998,1.19E+06,Inf,2.65E-06,9.37E-05,NA,99.64712091,3.53E-01,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
9_0.5r,Alto Fresno,1,0.0455,1.94E-05,2.9,70,8.089335227,1243.770257,1.46E+05,NA,6.35E-06,1.15E-05,NA,99.98193231,1.81E-02,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
9_1.25r,Alto Fresno,1,0.0455,2.57E-05,0.7,92.5,9.379726733,1442.173529,1.34E+08,Inf,7.37E-06,1.05E-02,NA,87.51197499,1.25E+01,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
10_0.5r,Alto Fresno,1,0.0455,8.72E-06,0.8,31.4,3.299301812,507.2819149,3.37E+07,Inf,2.59E-06,2.65E-03,NA,90.72270343,9.28E+00,0.00E+00,BN,0,,,,,,,,,,,,,,C(0),C(0)
10_1.25r,Alto Fresno,1,0.0455,2.42E-05,2.4,87.2,10.08458496,1550.548528,8.06E+05,Inf,7.92E-06,6.33E-05,NA,99.92015195,7.98E-02,1.42E-14,BN,0,,,,,,,,,,,,,,C(0),C(0)
4.2.2.Pin,Pinera Miguel,2,0.0455,,,,,,,,,,,,,,Sub,1,45.21,101.37,0.1,93.18,0.8,8.19,26.49,19.33,56.51,46.39,,0.5,93.18,Sub(1),G(1)
4.1.5.Pin,Pinera Miguel,3,0.0455,,,,,,,,,,,,,,Sub,1,53.96,99.67,0.3,93.95,0.8,5.72,25.76,20.56,67.45,49.34,,0.5,93.18,Sub(1),G(1)
7.0.0.Pin,Pinera Miguel,1,0.0455,,,,,,,,,,,,,,Sub,1,73.01,105.66,0.3,99.34,1.1,6.32,20.96,15.83,66.37,37.99,,0.9,93.18,Sub(1),G(1)
1 ELLP4.2.2.Pin,Pinera Miguel,2,0.0645,,,,,,,,,,,,,,Sub,1,62.88,105.66,0.1,95.37,1.1,10.29,24.4,15.83,57.16,37.99,,0.9,93.18,Sub(1),G(1)
1 ELLP7.3.5.Pin,Pinera Miguel,3,0.0645,,,,,,,,,,,,,,Sub,1,39.7,99.26,0,99.26,0.8,0,21.12,21.12,49.62,50.69,,0.6,93.18,Sub(1),G(1)
7.0.5.Pin,Pinera Miguel,3,0.0455,,,,,,,,,,,,,,Sub,1,46.09,103.31,0.1,95.37,0.8,7.94,24.4,17.6,57.61,42.24,,0.6,94.69,Sub(1),G(1)
2.3.2.Pin,Pinera Miguel,2,0.0455,,,,,,,,,,,,,,Sub,1,61.28,103.31,0.2,96.22,1,7.09,23.62,17.6,61.28,42.24,,0.7,95.37,Sub(1),G(1)
5.3.5.Yac,La Yácata,3,0.0455,,,,,,,,,,,,,,Sub,2,34.7,102.8,0.2,90,0.5,12.8,29.7,18.16,69.4,43.58,,0.6,90.66,Sub(2),G(2)
bb.0.5.Yac,La Yácata,3,0.0325,,,,,,,,,,,,,,Sub,2,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,,0.8,90,Sub(2),G(2)
